Timestamp,Forecast_Generation_MWh,Forecast_Lower_Bound_MWh,Forecast_Upper_Bound_MWh
2025-06-01 00:00:00,2999.8861091086437,0.0,7550.6340449780655
2025-06-01 01:00:00,4344.681594001706,0.0,8975.27795490689
2025-06-01 02:00:00,3906.793207410312,0.0,8932.434949401884
2025-06-01 03:00:00,3482.17925679967,0.0,8200.49110268801
2025-06-01 04:00:00,3148.5004587965186,0.0,8036.402253986492
2025-06-01 05:00:00,2559.5564762260287,0.0,7349.816947196852
2025-06-01 06:00:00,2409.9711149569466,0.0,6911.774660902625
2025-06-01 07:00:00,2203.5560028020873,0.0,6799.980792639028
2025-06-01 08:00:00,1305.9666590754887,0.0,6399.325234236811
2025-06-01 09:00:00,1060.351880648453,0.0,5956.630867129136
2025-06-01 10:00:00,1512.915622120384,0.0,5982.548309400796
2025-06-01 11:00:00,2484.8108347900734,0.0,7393.782623739055
2025-06-01 12:00:00,3713.8437463022074,0.0,8304.146164466592
2025-06-01 13:00:00,2709.1163211394182,0.0,7736.926277869405
2025-06-01 14:00:00,3661.2839645578356,0.0,8614.845870657586
2025-06-01 15:00:00,5058.864419299656,311.907209020043,9700.10373663527
2025-06-01 16:00:00,4683.032456934002,34.42964276866119,9584.411534883247
2025-06-01 17:00:00,5054.882802617947,205.17328829602144,9960.335287953028
2025-06-01 18:00:00,4055.992533059939,0.0,8967.085038693345
2025-06-01 19:00:00,4555.4101638722605,114.52676193761965,9243.659729262577
2025-06-01 20:00:00,3848.881047606814,0.0,8629.64488008562
2025-06-01 21:00:00,4335.773002017096,0.0,9255.584845573649
2025-06-01 22:00:00,5433.75051267481,547.1432934319237,10235.453630656644
2025-06-01 23:00:00,5586.259825602587,653.2907146471756,10128.656048046092
2025-06-02 00:00:00,4599.182093388792,0.0,9281.306478915732
2025-06-02 01:00:00,2147.510004702569,0.0,7183.969821718436
2025-06-02 02:00:00,2856.894551189822,0.0,7843.469100347446
2025-06-02 03:00:00,1872.2803281579725,0.0,6623.797669905958
2025-06-02 04:00:00,2771.323938229594,0.0,8002.283198968752
2025-06-02 05:00:00,3330.4340301014045,0.0,8119.137243972515
2025-06-02 06:00:00,3559.9150196762257,0.0,8478.934292954205
2025-06-02 07:00:00,2406.864977201666,0.0,7114.574623489757
2025-06-02 08:00:00,2259.8548362942583,0.0,7062.839508315796
2025-06-02 09:00:00,1741.3561982485237,0.0,6316.83083500439
2025-06-02 10:00:00,1343.181320776009,0.0,6037.243014370957
2025-06-02 11:00:00,2207.1450121618573,0.0,6807.624825509239
2025-06-02 12:00:00,2194.1298174522785,0.0,6789.904070038143
2025-06-02 13:00:00,6195.5220897676445,1351.0631847118846,10966.620227318925
2025-06-02 14:00:00,4704.271595673349,0.0,9386.287513437024
2025-06-02 15:00:00,5022.790403639418,373.5778144167355,9731.757351831071
2025-06-02 16:00:00,5171.703182558339,243.86622070395532,9886.73223463149
2025-06-02 17:00:00,4967.593596543361,125.15978160101821,9806.262238092988
2025-06-02 18:00:00,5585.819133410901,762.2789684752421,9999.672869117438
2025-06-02 19:00:00,4963.864838330926,349.7610376380246,9739.686375412319
2025-06-02 20:00:00,4184.511102169335,0.0,9031.562037093692
2025-06-02 21:00:00,5010.718616005913,0.0,9752.097288808094
2025-06-02 22:00:00,4045.196256892178,0.0,9097.932377205261
2025-06-02 23:00:00,2834.0788560668016,0.0,7741.019434350209
2025-06-03 00:00:00,4651.358393345578,0.0,9260.842608130557
2025-06-03 01:00:00,5163.980428279434,323.74900856121883,9803.84591908808
2025-06-03 02:00:00,4400.042110716824,0.0,9108.046142973168
2025-06-03 03:00:00,4059.451352572289,0.0,9053.67826900276
2025-06-03 04:00:00,3631.5358577597726,0.0,8615.572758968709
2025-06-03 05:00:00,2738.689544342679,0.0,7405.459737194722
2025-06-03 06:00:00,2807.1333040193613,0.0,7810.588765471394
2025-06-03 07:00:00,3897.8168437536224,0.0,8752.964932744746
2025-06-03 08:00:00,4565.723027500649,0.0,9224.543622495596
2025-06-03 09:00:00,3895.1245883690112,0.0,9045.520318247949
2025-06-03 10:00:00,3554.9026648220574,0.0,8351.79726828444
2025-06-03 11:00:00,3652.9197863197537,0.0,8726.801108997155
2025-06-03 12:00:00,4165.990525289096,0.0,8860.547119514642
2025-06-03 13:00:00,3161.2874397573364,0.0,7798.724796808436
2025-06-03 14:00:00,2458.072928342239,0.0,7296.610687638343
2025-06-03 15:00:00,3520.0008394690913,0.0,8642.782506041665
2025-06-03 16:00:00,4940.620530384461,307.457634543109,9790.566390443846
2025-06-03 17:00:00,4898.313506665554,137.68107284643477,10020.0209945163
2025-06-03 18:00:00,4774.810673125428,0.0,9257.854019010865
2025-06-03 19:00:00,4654.912677758045,0.0,9183.38089466841
2025-06-03 20:00:00,4269.093399494828,0.0,9281.006970237608
2025-06-03 21:00:00,4330.049564288419,0.0,9274.670664136198
2025-06-03 22:00:00,3969.662279476297,0.0,8689.489089475623
2025-06-03 23:00:00,3063.573687213423,0.0,7792.924888420893
2025-06-04 00:00:00,2992.300136115583,0.0,7898.064052827045
2025-06-04 01:00:00,4083.077011505382,0.0,8681.559436441883
2025-06-04 02:00:00,4264.46340186599,0.0,8901.034182411995
2025-06-04 03:00:00,3820.350787071683,0.0,8799.55050223244
2025-06-04 04:00:00,3528.0239183323574,0.0,8546.595532308986
2025-06-04 05:00:00,3327.7144865663295,0.0,8003.794692283934
2025-06-04 06:00:00,3325.13810747388,0.0,8081.150456876033
2025-06-04 07:00:00,3072.1005442991614,0.0,7892.155451737589
