Timestamp,Forecast_Generation_MWh,Forecast_Lower_Bound_MWh,Forecast_Upper_Bound_MWh,Real_Generation(MWh)
2025-06-01 00:00:00,2999.886109108644,0.0,7550.6340449780655,5718.0
2025-06-01 01:00:00,4344.681594001706,0.0,8975.27795490689,5154.0
2025-06-01 02:00:00,3906.793207410312,0.0,8932.434949401884,4580.0
2025-06-01 03:00:00,3482.17925679967,0.0,8200.49110268801,4842.0
2025-06-01 04:00:00,3148.5004587965186,0.0,8036.402253986492,4740.0
2025-06-01 05:00:00,2559.5564762260287,0.0,7349.816947196852,4613.0
2025-06-01 06:00:00,2409.9711149569466,0.0,6911.774660902625,4447.0
2025-06-01 07:00:00,2203.5560028020877,0.0,6799.980792639028,4300.0
2025-06-01 08:00:00,1305.966659075489,0.0,6399.325234236811,3675.0
2025-06-01 09:00:00,1060.351880648453,0.0,5956.630867129136,2653.0
2025-06-01 10:00:00,1512.915622120384,0.0,5982.548309400796,2157.0
2025-06-01 11:00:00,2484.8108347900734,0.0,7393.782623739055,2012.0
2025-06-01 12:00:00,3713.843746302208,0.0,8304.146164466592,1923.0
2025-06-01 13:00:00,2709.1163211394182,0.0,7736.926277869405,1884.0
2025-06-01 14:00:00,3661.283964557836,0.0,8614.845870657586,1849.0
2025-06-01 15:00:00,5058.864419299656,311.907209020043,9700.10373663527,2206.0
2025-06-01 16:00:00,4683.032456934002,34.42964276866119,9584.411534883247,3334.0
2025-06-01 17:00:00,5054.882802617947,205.17328829602144,9960.335287953028,4448.0
2025-06-01 18:00:00,4055.992533059939,0.0,8967.085038693345,5969.0
2025-06-01 19:00:00,4555.4101638722605,114.52676193761964,9243.659729262576,6865.0
2025-06-01 20:00:00,3848.881047606814,0.0,8629.64488008562,7575.0
2025-06-01 21:00:00,4335.773002017096,0.0,9255.584845573649,7680.0
2025-06-01 22:00:00,5433.75051267481,547.1432934319237,10235.453630656644,7497.0
2025-06-01 23:00:00,5586.259825602587,653.2907146471756,10128.656048046092,7201.0
2025-06-02 00:00:00,4599.182093388792,0.0,9281.306478915732,7605.0
2025-06-02 01:00:00,2147.510004702569,0.0,7183.969821718436,7863.0
2025-06-02 02:00:00,2856.894551189822,0.0,7843.469100347446,7688.0
2025-06-02 03:00:00,1872.2803281579725,0.0,6623.797669905958,8137.0
2025-06-02 04:00:00,2771.323938229594,0.0,8002.283198968752,8200.0
2025-06-02 05:00:00,3330.4340301014045,0.0,8119.137243972515,8475.0
2025-06-02 06:00:00,3559.9150196762257,0.0,8478.934292954205,8581.0
2025-06-02 07:00:00,2406.864977201666,0.0,7114.574623489757,7645.0
2025-06-02 08:00:00,2259.8548362942583,0.0,7062.839508315796,7042.0
2025-06-02 09:00:00,1741.3561982485237,0.0,6316.83083500439,6606.0
2025-06-02 10:00:00,1343.181320776009,0.0,6037.243014370957,6282.0
2025-06-02 11:00:00,2207.1450121618573,0.0,6807.624825509239,6133.0
2025-06-02 12:00:00,2194.1298174522785,0.0,6789.904070038143,5929.0
2025-06-02 13:00:00,6195.5220897676445,1351.0631847118846,10966.620227318925,5748.0
2025-06-02 14:00:00,4704.271595673349,0.0,9386.287513437024,5320.0
2025-06-02 15:00:00,5022.790403639418,373.5778144167355,9731.757351831073,5896.0
2025-06-02 16:00:00,5171.703182558339,243.8662207039553,9886.73223463149,6325.0
2025-06-02 17:00:00,4967.593596543361,125.1597816010182,9806.262238092988,7275.0
2025-06-02 18:00:00,5585.819133410901,762.2789684752421,9999.672869117438,8539.0
2025-06-02 19:00:00,4963.864838330926,349.7610376380246,9739.68637541232,8853.0
2025-06-02 20:00:00,4184.511102169335,0.0,9031.562037093692,8168.0
2025-06-02 21:00:00,5010.718616005913,0.0,9752.097288808094,7908.0
2025-06-02 22:00:00,4045.196256892178,0.0,9097.93237720526,7460.0
2025-06-02 23:00:00,2834.0788560668016,0.0,7741.019434350209,7529.0
2025-06-03 00:00:00,4651.358393345578,0.0,9260.842608130555,7681.0
2025-06-03 01:00:00,5163.980428279434,323.74900856121883,9803.84591908808,7339.0
2025-06-03 02:00:00,4400.042110716824,0.0,9108.046142973168,6531.0
2025-06-03 03:00:00,4059.451352572289,0.0,9053.67826900276,5739.0
2025-06-03 04:00:00,3631.5358577597726,0.0,8615.572758968709,5253.0
2025-06-03 05:00:00,2738.689544342679,0.0,7405.459737194722,4791.0
2025-06-03 06:00:00,2807.1333040193613,0.0,7810.588765471394,4135.0
2025-06-03 07:00:00,3897.8168437536224,0.0,8752.964932744746,3261.0
2025-06-03 08:00:00,4565.723027500649,0.0,9224.543622495596,2635.0
2025-06-03 09:00:00,3895.1245883690112,0.0,9045.520318247947,2232.0
2025-06-03 10:00:00,3554.902664822057,0.0,8351.79726828444,1815.0
2025-06-03 11:00:00,3652.9197863197537,0.0,8726.801108997155,1646.0
2025-06-03 12:00:00,4165.990525289096,0.0,8860.547119514642,1519.0
2025-06-03 13:00:00,3161.2874397573364,0.0,7798.724796808436,1725.0
2025-06-03 14:00:00,2458.072928342239,0.0,7296.610687638343,2179.0
2025-06-03 15:00:00,3520.0008394690917,0.0,8642.782506041665,2541.0
2025-06-03 16:00:00,4940.620530384461,307.457634543109,9790.566390443846,3461.0
2025-06-03 17:00:00,4898.313506665554,137.68107284643477,10020.0209945163,4516.0
2025-06-03 18:00:00,4774.810673125428,0.0,9257.854019010863,6087.0
2025-06-03 19:00:00,4654.912677758045,0.0,9183.38089466841,8025.0
2025-06-03 20:00:00,4269.093399494828,0.0,9281.006970237608,6957.0
