MTU (CET/CEST),Area,Production Type,Generation(MW)
01/01/2025 14:15:00 - 01/01/2025 14:30:00,BZN|ES,Wind Onshore,3740.0
01/01/2025 14:30:00 - 01/01/2025 14:45:00,BZN|ES,Wind Onshore,3768.0
01/01/2025 14:45:00 - 01/01/2025 15:00:00,BZN|ES,Wind Onshore,3792.0
01/01/2025 15:00:00 - 01/01/2025 15:15:00,BZN|ES,Wind Onshore,3756.0
01/01/2025 15:15:00 - 01/01/2025 15:30:00,BZN|ES,Wind Onshore,3772.0
01/01/2025 15:30:00 - 01/01/2025 15:45:00,BZN|ES,Wind Onshore,3788.0
01/01/2025 15:45:00 - 01/01/2025 16:00:00,BZN|ES,Wind Onshore,3812.0
01/01/2025 16:00:00 - 01/01/2025 16:15:00,BZN|ES,Wind Onshore,3788.0
01/01/2025 16:15:00 - 01/01/2025 16:30:00,BZN|ES,Wind Onshore,3788.0
01/01/2025 16:30:00 - 01/01/2025 16:45:00,BZN|ES,Wind Onshore,3800.0
01/01/2025 16:45:00 - 01/01/2025 17:00:00,BZN|ES,Wind Onshore,3804.0
01/01/2025 17:00:00 - 01/01/2025 17:15:00,BZN|ES,Wind Onshore,3796.0
01/01/2025 17:15:00 - 01/01/2025 17:30:00,BZN|ES,Wind Onshore,3832.0
01/01/2025 17:30:00 - 01/01/2025 17:45:00,BZN|ES,Wind Onshore,3828.0
01/01/2025 17:45:00 - 01/01/2025 18:00:00,BZN|ES,Wind Onshore,3860.0
01/01/2025 18:00:00 - 01/01/2025 18:15:00,BZN|ES,Wind Onshore,3936.0
01/01/2025 18:15:00 - 01/01/2025 18:30:00,BZN|ES,Wind Onshore,4072.0
01/01/2025 18:30:00 - 01/01/2025 18:45:00,BZN|ES,Wind Onshore,4240.0
01/01/2025 18:45:00 - 01/01/2025 19:00:00,BZN|ES,Wind Onshore,4404.0
01/01/2025 19:00:00 - 01/01/2025 19:15:00,BZN|ES,Wind Onshore,4508.0
01/01/2025 19:15:00 - 01/01/2025 19:30:00,BZN|ES,Wind Onshore,4648.0
01/01/2025 19:30:00 - 01/01/2025 19:45:00,BZN|ES,Wind Onshore,4756.0
01/01/2025 19:45:00 - 01/01/2025 20:00:00,BZN|ES,Wind Onshore,4784.0
01/01/2025 20:00:00 - 01/01/2025 20:15:00,BZN|ES,Wind Onshore,4780.0
01/01/2025 20:15:00 - 01/01/2025 20:30:00,BZN|ES,Wind Onshore,4824.0
01/01/2025 20:30:00 - 01/01/2025 20:45:00,BZN|ES,Wind Onshore,4852.0
01/01/2025 20:45:00 - 01/01/2025 21:00:00,BZN|ES,Wind Onshore,4884.0
01/01/2025 21:00:00 - 01/01/2025 21:15:00,BZN|ES,Wind Onshore,4956.0
01/01/2025 21:15:00 - 01/01/2025 21:30:00,BZN|ES,Wind Onshore,5040.0
01/01/2025 21:30:00 - 01/01/2025 21:45:00,BZN|ES,Wind Onshore,5072.0
01/01/2025 21:45:00 - 01/01/2025 22:00:00,BZN|ES,Wind Onshore,5036.0
01/01/2025 22:00:00 - 01/01/2025 22:15:00,BZN|ES,Wind Onshore,4988.0
01/01/2025 22:15:00 - 01/01/2025 22:30:00,BZN|ES,Wind Onshore,5012.0
01/01/2025 22:30:00 - 01/01/2025 22:45:00,BZN|ES,Wind Onshore,5064.0
01/01/2025 22:45:00 - 01/01/2025 23:00:00,BZN|ES,Wind Onshore,5124.0
01/01/2025 23:00:00 - 01/01/2025 23:15:00,BZN|ES,Wind Onshore,5160.0
01/01/2025 23:15:00 - 01/01/2025 23:30:00,BZN|ES,Wind Onshore,5212.0
01/01/2025 23:30:00 - 01/01/2025 23:45:00,BZN|ES,Wind Onshore,5184.0
01/01/2025 23:45:00 - 02/01/2025 00:00:00,BZN|ES,Wind Onshore,5232.0
02/01/2025 00:00:00 - 02/01/2025 00:15:00,BZN|ES,Wind Onshore,5268.0
02/01/2025 00:15:00 - 02/01/2025 00:30:00,BZN|ES,Wind Onshore,5296.0
02/01/2025 00:30:00 - 02/01/2025 00:45:00,BZN|ES,Wind Onshore,5312.0
02/01/2025 00:45:00 - 02/01/2025 01:00:00,BZN|ES,Wind Onshore,5304.0
02/01/2025 01:00:00 - 02/01/2025 01:15:00,BZN|ES,Wind Onshore,5344.0
02/01/2025 01:15:00 - 02/01/2025 01:30:00,BZN|ES,Wind Onshore,5364.0
02/01/2025 01:30:00 - 02/01/2025 01:45:00,BZN|ES,Wind Onshore,5420.0
02/01/2025 01:45:00 - 02/01/2025 02:00:00,BZN|ES,Wind Onshore,5468.0
02/01/2025 02:00:00 - 02/01/2025 02:15:00,BZN|ES,Wind Onshore,5512.0
02/01/2025 02:15:00 - 02/01/2025 02:30:00,BZN|ES,Wind Onshore,5504.0
02/01/2025 02:30:00 - 02/01/2025 02:45:00,BZN|ES,Wind Onshore,5512.0
02/01/2025 02:45:00 - 02/01/2025 03:00:00,BZN|ES,Wind Onshore,5552.0
02/01/2025 03:00:00 - 02/01/2025 03:15:00,BZN|ES,Wind Onshore,5620.0
02/01/2025 03:15:00 - 02/01/2025 03:30:00,BZN|ES,Wind Onshore,5672.0
02/01/2025 03:30:00 - 02/01/2025 03:45:00,BZN|ES,Wind Onshore,5696.0
02/01/2025 03:45:00 - 02/01/2025 04:00:00,BZN|ES,Wind Onshore,5708.0
02/01/2025 04:00:00 - 02/01/2025 04:15:00,BZN|ES,Wind Onshore,5660.0
02/01/2025 04:15:00 - 02/01/2025 04:30:00,BZN|ES,Wind Onshore,5612.0
02/01/2025 04:30:00 - 02/01/2025 04:45:00,BZN|ES,Wind Onshore,5584.0
02/01/2025 04:45:00 - 02/01/2025 05:00:00,BZN|ES,Wind Onshore,5644.0
02/01/2025 05:00:00 - 02/01/2025 05:15:00,BZN|ES,Wind Onshore,5664.0
02/01/2025 05:15:00 - 02/01/2025 05:30:00,BZN|ES,Wind Onshore,5700.0
02/01/2025 05:30:00 - 02/01/2025 05:45:00,BZN|ES,Wind Onshore,5796.0
02/01/2025 05:45:00 - 02/01/2025 06:00:00,BZN|ES,Wind Onshore,5824.0
02/01/2025 06:00:00 - 02/01/2025 06:15:00,BZN|ES,Wind Onshore,5872.0
02/01/2025 06:15:00 - 02/01/2025 06:30:00,BZN|ES,Wind Onshore,5988.0
02/01/2025 06:30:00 - 02/01/2025 06:45:00,BZN|ES,Wind Onshore,5984.0
02/01/2025 06:45:00 - 02/01/2025 07:00:00,BZN|ES,Wind Onshore,5932.0
02/01/2025 07:00:00 - 02/01/2025 07:15:00,BZN|ES,Wind Onshore,5876.0
02/01/2025 07:15:00 - 02/01/2025 07:30:00,BZN|ES,Wind Onshore,5928.0
02/01/2025 07:30:00 - 02/01/2025 07:45:00,BZN|ES,Wind Onshore,6040.0
02/01/2025 07:45:00 - 02/01/2025 08:00:00,BZN|ES,Wind Onshore,6112.0
02/01/2025 08:00:00 - 02/01/2025 08:15:00,BZN|ES,Wind Onshore,6104.0
02/01/2025 08:15:00 - 02/01/2025 08:30:00,BZN|ES,Wind Onshore,6076.0
02/01/2025 08:30:00 - 02/01/2025 08:45:00,BZN|ES,Wind Onshore,6148.0
02/01/2025 08:45:00 - 02/01/2025 09:00:00,BZN|ES,Wind Onshore,6164.0
02/01/2025 09:00:00 - 02/01/2025 09:15:00,BZN|ES,Wind Onshore,6096.0
02/01/2025 09:15:00 - 02/01/2025 09:30:00,BZN|ES,Wind Onshore,6076.0
02/01/2025 09:30:00 - 02/01/2025 09:45:00,BZN|ES,Wind Onshore,6008.0
02/01/2025 09:45:00 - 02/01/2025 10:00:00,BZN|ES,Wind Onshore,5908.0
02/01/2025 10:00:00 - 02/01/2025 10:15:00,BZN|ES,Wind Onshore,5756.0
02/01/2025 10:15:00 - 02/01/2025 10:30:00,BZN|ES,Wind Onshore,5536.0
02/01/2025 10:30:00 - 02/01/2025 10:45:00,BZN|ES,Wind Onshore,5512.0
02/01/2025 10:45:00 - 02/01/2025 11:00:00,BZN|ES,Wind Onshore,5476.0
02/01/2025 11:00:00 - 02/01/2025 11:15:00,BZN|ES,Wind Onshore,5380.0
02/01/2025 11:15:00 - 02/01/2025 11:30:00,BZN|ES,Wind Onshore,5452.0
02/01/2025 11:30:00 - 02/01/2025 11:45:00,BZN|ES,Wind Onshore,5496.0
02/01/2025 11:45:00 - 02/01/2025 12:00:00,BZN|ES,Wind Onshore,5584.0
02/01/2025 12:00:00 - 02/01/2025 12:15:00,BZN|ES,Wind Onshore,5644.0
02/01/2025 12:15:00 - 02/01/2025 12:30:00,BZN|ES,Wind Onshore,5788.0
02/01/2025 12:30:00 - 02/01/2025 12:45:00,BZN|ES,Wind Onshore,5824.0
02/01/2025 12:45:00 - 02/01/2025 13:00:00,BZN|ES,Wind Onshore,5912.0
02/01/2025 13:00:00 - 02/01/2025 13:15:00,BZN|ES,Wind Onshore,6144.0
02/01/2025 13:15:00 - 02/01/2025 13:30:00,BZN|ES,Wind Onshore,6372.0
02/01/2025 13:30:00 - 02/01/2025 13:45:00,BZN|ES,Wind Onshore,6472.0
02/01/2025 13:45:00 - 02/01/2025 14:00:00,BZN|ES,Wind Onshore,6604.0
02/01/2025 14:00:00 - 02/01/2025 14:15:00,BZN|ES,Wind Onshore,6736.0
02/01/2025 14:15:00 - 02/01/2025 14:30:00,BZN|ES,Wind Onshore,6748.0
02/01/2025 14:30:00 - 02/01/2025 14:45:00,BZN|ES,Wind Onshore,6728.0
02/01/2025 14:45:00 - 02/01/2025 15:00:00,BZN|ES,Wind Onshore,6732.0
02/01/2025 15:00:00 - 02/01/2025 15:15:00,BZN|ES,Wind Onshore,6760.0
02/01/2025 15:15:00 - 02/01/2025 15:30:00,BZN|ES,Wind Onshore,6804.0
02/01/2025 15:30:00 - 02/01/2025 15:45:00,BZN|ES,Wind Onshore,6960.0
02/01/2025 15:45:00 - 02/01/2025 16:00:00,BZN|ES,Wind Onshore,6924.0
02/01/2025 16:00:00 - 02/01/2025 16:15:00,BZN|ES,Wind Onshore,6736.0
02/01/2025 16:15:00 - 02/01/2025 16:30:00,BZN|ES,Wind Onshore,6200.0
02/01/2025 16:30:00 - 02/01/2025 16:45:00,BZN|ES,Wind Onshore,6472.0
02/01/2025 16:45:00 - 02/01/2025 17:00:00,BZN|ES,Wind Onshore,6736.0
02/01/2025 17:00:00 - 02/01/2025 17:15:00,BZN|ES,Wind Onshore,6660.0
02/01/2025 17:15:00 - 02/01/2025 17:30:00,BZN|ES,Wind Onshore,6612.0
02/01/2025 17:30:00 - 02/01/2025 17:45:00,BZN|ES,Wind Onshore,6636.0
02/01/2025 17:45:00 - 02/01/2025 18:00:00,BZN|ES,Wind Onshore,6712.0
02/01/2025 18:00:00 - 02/01/2025 18:15:00,BZN|ES,Wind Onshore,6884.0
02/01/2025 18:15:00 - 02/01/2025 18:30:00,BZN|ES,Wind Onshore,7040.0
02/01/2025 18:30:00 - 02/01/2025 18:45:00,BZN|ES,Wind Onshore,7272.0
02/01/2025 18:45:00 - 02/01/2025 19:00:00,BZN|ES,Wind Onshore,7532.0
02/01/2025 19:00:00 - 02/01/2025 19:15:00,BZN|ES,Wind Onshore,7752.0
02/01/2025 19:15:00 - 02/01/2025 19:30:00,BZN|ES,Wind Onshore,7832.0
02/01/2025 19:30:00 - 02/01/2025 19:45:00,BZN|ES,Wind Onshore,7928.0
02/01/2025 19:45:00 - 02/01/2025 20:00:00,BZN|ES,Wind Onshore,8032.0
02/01/2025 20:00:00 - 02/01/2025 20:15:00,BZN|ES,Wind Onshore,8124.0
02/01/2025 20:15:00 - 02/01/2025 20:30:00,BZN|ES,Wind Onshore,8196.0
02/01/2025 20:30:00 - 02/01/2025 20:45:00,BZN|ES,Wind Onshore,8272.0
02/01/2025 20:45:00 - 02/01/2025 21:00:00,BZN|ES,Wind Onshore,8320.0
02/01/2025 21:00:00 - 02/01/2025 21:15:00,BZN|ES,Wind Onshore,8364.0
02/01/2025 21:15:00 - 02/01/2025 21:30:00,BZN|ES,Wind Onshore,8508.0
02/01/2025 21:30:00 - 02/01/2025 21:45:00,BZN|ES,Wind Onshore,8572.0
02/01/2025 21:45:00 - 02/01/2025 22:00:00,BZN|ES,Wind Onshore,8724.0
02/01/2025 22:00:00 - 02/01/2025 22:15:00,BZN|ES,Wind Onshore,8828.0
02/01/2025 22:15:00 - 02/01/2025 22:30:00,BZN|ES,Wind Onshore,8772.0
02/01/2025 22:30:00 - 02/01/2025 22:45:00,BZN|ES,Wind Onshore,8788.0
