MTU (CET/CEST),Area,Production Type,Generation(MW)
01/01/2025 00:00:00 - 01/01/2025 00:15:00,BZN|ES,Waste,184.0
01/01/2025 00:15:00 - 01/01/2025 00:30:00,BZN|ES,Waste,184.0
01/01/2025 00:30:00 - 01/01/2025 00:45:00,BZN|ES,Waste,180.0
01/01/2025 00:45:00 - 01/01/2025 01:00:00,BZN|ES,Waste,180.0
01/01/2025 01:00:00 - 01/01/2025 01:15:00,BZN|ES,Waste,180.0
01/01/2025 01:15:00 - 01/01/2025 01:30:00,BZN|ES,Waste,184.0
01/01/2025 01:30:00 - 01/01/2025 01:45:00,BZN|ES,Waste,180.0
01/01/2025 01:45:00 - 01/01/2025 02:00:00,BZN|ES,Waste,180.0
01/01/2025 02:00:00 - 01/01/2025 02:15:00,BZN|ES,Waste,180.0
01/01/2025 02:15:00 - 01/01/2025 02:30:00,BZN|ES,Waste,180.0
01/01/2025 02:30:00 - 01/01/2025 02:45:00,BZN|ES,Waste,180.0
01/01/2025 02:45:00 - 01/01/2025 03:00:00,BZN|ES,Waste,180.0
01/01/2025 03:00:00 - 01/01/2025 03:15:00,BZN|ES,Waste,180.0
01/01/2025 03:15:00 - 01/01/2025 03:30:00,BZN|ES,Waste,180.0
01/01/2025 03:30:00 - 01/01/2025 03:45:00,BZN|ES,Waste,156.0
01/01/2025 03:45:00 - 01/01/2025 04:00:00,BZN|ES,Waste,152.0
01/01/2025 04:00:00 - 01/01/2025 04:15:00,BZN|ES,Waste,160.0
01/01/2025 04:15:00 - 01/01/2025 04:30:00,BZN|ES,Waste,152.0
01/01/2025 04:30:00 - 01/01/2025 04:45:00,BZN|ES,Waste,160.0
01/01/2025 04:45:00 - 01/01/2025 05:00:00,BZN|ES,Waste,156.0
01/01/2025 05:00:00 - 01/01/2025 05:15:00,BZN|ES,Waste,152.0
01/01/2025 05:15:00 - 01/01/2025 05:30:00,BZN|ES,Waste,156.0
01/01/2025 05:30:00 - 01/01/2025 05:45:00,BZN|ES,Waste,156.0
01/01/2025 05:45:00 - 01/01/2025 06:00:00,BZN|ES,Waste,156.0
01/01/2025 06:00:00 - 01/01/2025 06:15:00,BZN|ES,Waste,164.0
01/01/2025 06:15:00 - 01/01/2025 06:30:00,BZN|ES,Waste,156.0
01/01/2025 06:30:00 - 01/01/2025 06:45:00,BZN|ES,Waste,156.0
01/01/2025 06:45:00 - 01/01/2025 07:00:00,BZN|ES,Waste,156.0
01/01/2025 07:00:00 - 01/01/2025 07:15:00,BZN|ES,Waste,156.0
01/01/2025 07:15:00 - 01/01/2025 07:30:00,BZN|ES,Waste,160.0
