MTU (CET/CEST),Area,Production Type,Generation(MW)
01/01/2025 17:15:00 - 01/01/2025 17:30:00,BZN|ES,Fossil Hard coal,264.0
01/01/2025 17:30:00 - 01/01/2025 17:45:00,BZN|ES,Fossil Hard coal,284.0
01/01/2025 17:45:00 - 01/01/2025 18:00:00,BZN|ES,Fossil Hard coal,288.0
01/01/2025 18:00:00 - 01/01/2025 18:15:00,BZN|ES,Fossil Hard coal,288.0
01/01/2025 18:15:00 - 01/01/2025 18:30:00,BZN|ES,Fossil Hard coal,308.0
01/01/2025 18:30:00 - 01/01/2025 18:45:00,BZN|ES,Fossil Hard coal,344.0
01/01/2025 18:45:00 - 01/01/2025 19:00:00,BZN|ES,Fossil Hard coal,344.0
01/01/2025 19:00:00 - 01/01/2025 19:15:00,BZN|ES,Fossil Hard coal,344.0
01/01/2025 19:15:00 - 01/01/2025 19:30:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 19:30:00 - 01/01/2025 19:45:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 19:45:00 - 01/01/2025 20:00:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 20:00:00 - 01/01/2025 20:15:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 20:15:00 - 01/01/2025 20:30:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 20:30:00 - 01/01/2025 20:45:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 20:45:00 - 01/01/2025 21:00:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 21:00:00 - 01/01/2025 21:15:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 21:15:00 - 01/01/2025 21:30:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 21:30:00 - 01/01/2025 21:45:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 21:45:00 - 01/01/2025 22:00:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 22:00:00 - 01/01/2025 22:15:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 22:15:00 - 01/01/2025 22:30:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 22:30:00 - 01/01/2025 22:45:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 22:45:00 - 01/01/2025 23:00:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 23:00:00 - 01/01/2025 23:15:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 23:15:00 - 01/01/2025 23:30:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 23:30:00 - 01/01/2025 23:45:00,BZN|ES,Fossil Hard coal,336.0
01/01/2025 23:45:00 - 02/01/2025 00:00:00,BZN|ES,Fossil Hard coal,336.0
02/01/2025 00:00:00 - 02/01/2025 00:15:00,BZN|ES,Fossil Hard coal,336.0
02/01/2025 00:15:00 - 02/01/2025 00:30:00,BZN|ES,Fossil Hard coal,336.0
02/01/2025 00:30:00 - 02/01/2025 00:45:00,BZN|ES,Fossil Hard coal,336.0
02/01/2025 00:45:00 - 02/01/2025 01:00:00,BZN|ES,Fossil Hard coal,336.0
02/01/2025 01:00:00 - 02/01/2025 01:15:00,BZN|ES,Fossil Hard coal,308.0
02/01/2025 01:15:00 - 02/01/2025 01:30:00,BZN|ES,Fossil Hard coal,280.0
02/01/2025 01:30:00 - 02/01/2025 01:45:00,BZN|ES,Fossil Hard coal,268.0
02/01/2025 01:45:00 - 02/01/2025 02:00:00,BZN|ES,Fossil Hard coal,268.0
02/01/2025 02:00:00 - 02/01/2025 02:15:00,BZN|ES,Fossil Hard coal,268.0
02/01/2025 02:15:00 - 02/01/2025 02:30:00,BZN|ES,Fossil Hard coal,276.0
02/01/2025 02:30:00 - 02/01/2025 02:45:00,BZN|ES,Fossil Hard coal,276.0
02/01/2025 02:45:00 - 02/01/2025 03:00:00,BZN|ES,Fossil Hard coal,276.0
02/01/2025 03:00:00 - 02/01/2025 03:15:00,BZN|ES,Fossil Hard coal,276.0
02/01/2025 03:15:00 - 02/01/2025 03:30:00,BZN|ES,Fossil Hard coal,256.0
02/01/2025 03:30:00 - 02/01/2025 03:45:00,BZN|ES,Fossil Hard coal,248.0
02/01/2025 03:45:00 - 02/01/2025 04:00:00,BZN|ES,Fossil Hard coal,248.0
02/01/2025 04:00:00 - 02/01/2025 04:15:00,BZN|ES,Fossil Hard coal,248.0
02/01/2025 04:15:00 - 02/01/2025 04:30:00,BZN|ES,Fossil Hard coal,248.0
02/01/2025 04:30:00 - 02/01/2025 04:45:00,BZN|ES,Fossil Hard coal,248.0
02/01/2025 04:45:00 - 02/01/2025 05:00:00,BZN|ES,Fossil Hard coal,248.0
02/01/2025 05:00:00 - 02/01/2025 05:15:00,BZN|ES,Fossil Hard coal,248.0
02/01/2025 05:15:00 - 02/01/2025 05:30:00,BZN|ES,Fossil Hard coal,264.0
02/01/2025 05:30:00 - 02/01/2025 05:45:00,BZN|ES,Fossil Hard coal,268.0
02/01/2025 05:45:00 - 02/01/2025 06:00:00,BZN|ES,Fossil Hard coal,268.0
02/01/2025 06:00:00 - 02/01/2025 06:15:00,BZN|ES,Fossil Hard coal,268.0
02/01/2025 06:15:00 - 02/01/2025 06:30:00,BZN|ES,Fossil Hard coal,288.0
02/01/2025 06:30:00 - 02/01/2025 06:45:00,BZN|ES,Fossil Hard coal,308.0
02/01/2025 06:45:00 - 02/01/2025 07:00:00,BZN|ES,Fossil Hard coal,316.0
02/01/2025 07:00:00 - 02/01/2025 07:15:00,BZN|ES,Fossil Hard coal,332.0
02/01/2025 07:15:00 - 02/01/2025 07:30:00,BZN|ES,Fossil Hard coal,356.0
02/01/2025 07:30:00 - 02/01/2025 07:45:00,BZN|ES,Fossil Hard coal,412.0
02/01/2025 07:45:00 - 02/01/2025 08:00:00,BZN|ES,Fossil Hard coal,428.0
02/01/2025 08:00:00 - 02/01/2025 08:15:00,BZN|ES,Fossil Hard coal,432.0
02/01/2025 08:15:00 - 02/01/2025 08:30:00,BZN|ES,Fossil Hard coal,476.0
02/01/2025 08:30:00 - 02/01/2025 08:45:00,BZN|ES,Fossil Hard coal,516.0
