MTU (CET/CEST),Area,Production Type,Generation(MW)
01/01/2025 14:15:00 - 01/01/2025 14:30:00,BZN|ES,Fossil Gas,3452.0
01/01/2025 14:30:00 - 01/01/2025 14:45:00,BZN|ES,Fossil Gas,3360.0
01/01/2025 14:45:00 - 01/01/2025 15:00:00,BZN|ES,Fossil Gas,3252.0
01/01/2025 15:00:00 - 01/01/2025 15:15:00,BZN|ES,Fossil Gas,3200.0
01/01/2025 15:15:00 - 01/01/2025 15:30:00,BZN|ES,Fossil Gas,3192.0
01/01/2025 15:30:00 - 01/01/2025 15:45:00,BZN|ES,Fossil Gas,3144.0
01/01/2025 15:45:00 - 01/01/2025 16:00:00,BZN|ES,Fossil Gas,2948.0
01/01/2025 16:00:00 - 01/01/2025 16:15:00,BZN|ES,Fossil Gas,3224.0
01/01/2025 16:15:00 - 01/01/2025 16:30:00,BZN|ES,Fossil Gas,3176.0
01/01/2025 16:30:00 - 01/01/2025 16:45:00,BZN|ES,Fossil Gas,3688.0
01/01/2025 16:45:00 - 01/01/2025 17:00:00,BZN|ES,Fossil Gas,4148.0
01/01/2025 17:00:00 - 01/01/2025 17:15:00,BZN|ES,Fossil Gas,4860.0
01/01/2025 17:15:00 - 01/01/2025 17:30:00,BZN|ES,Fossil Gas,5116.0
01/01/2025 17:30:00 - 01/01/2025 17:45:00,BZN|ES,Fossil Gas,5616.0
01/01/2025 17:45:00 - 01/01/2025 18:00:00,BZN|ES,Fossil Gas,6468.0
01/01/2025 18:00:00 - 01/01/2025 18:15:00,BZN|ES,Fossil Gas,7152.0
01/01/2025 18:15:00 - 01/01/2025 18:30:00,BZN|ES,Fossil Gas,6688.0
01/01/2025 18:30:00 - 01/01/2025 18:45:00,BZN|ES,Fossil Gas,6932.0
01/01/2025 18:45:00 - 01/01/2025 19:00:00,BZN|ES,Fossil Gas,7348.0
01/01/2025 19:00:00 - 01/01/2025 19:15:00,BZN|ES,Fossil Gas,7556.0
01/01/2025 19:15:00 - 01/01/2025 19:30:00,BZN|ES,Fossil Gas,7564.0
01/01/2025 19:30:00 - 01/01/2025 19:45:00,BZN|ES,Fossil Gas,7676.0
01/01/2025 19:45:00 - 01/01/2025 20:00:00,BZN|ES,Fossil Gas,7748.0
01/01/2025 20:00:00 - 01/01/2025 20:15:00,BZN|ES,Fossil Gas,7892.0
01/01/2025 20:15:00 - 01/01/2025 20:30:00,BZN|ES,Fossil Gas,7632.0
01/01/2025 20:30:00 - 01/01/2025 20:45:00,BZN|ES,Fossil Gas,7736.0
01/01/2025 20:45:00 - 01/01/2025 21:00:00,BZN|ES,Fossil Gas,7860.0
01/01/2025 21:00:00 - 01/01/2025 21:15:00,BZN|ES,Fossil Gas,7936.0
01/01/2025 21:15:00 - 01/01/2025 21:30:00,BZN|ES,Fossil Gas,8208.0
01/01/2025 21:30:00 - 01/01/2025 21:45:00,BZN|ES,Fossil Gas,8104.0
01/01/2025 21:45:00 - 01/01/2025 22:00:00,BZN|ES,Fossil Gas,7868.0
01/01/2025 22:00:00 - 01/01/2025 22:15:00,BZN|ES,Fossil Gas,7792.0
01/01/2025 22:15:00 - 01/01/2025 22:30:00,BZN|ES,Fossil Gas,7888.0
01/01/2025 22:30:00 - 01/01/2025 22:45:00,BZN|ES,Fossil Gas,7720.0
01/01/2025 22:45:00 - 01/01/2025 23:00:00,BZN|ES,Fossil Gas,7472.0
01/01/2025 23:00:00 - 01/01/2025 23:15:00,BZN|ES,Fossil Gas,7296.0
01/01/2025 23:15:00 - 01/01/2025 23:30:00,BZN|ES,Fossil Gas,7548.0
01/01/2025 23:30:00 - 01/01/2025 23:45:00,BZN|ES,Fossil Gas,7232.0
01/01/2025 23:45:00 - 02/01/2025 00:00:00,BZN|ES,Fossil Gas,6932.0
02/01/2025 00:00:00 - 02/01/2025 00:15:00,BZN|ES,Fossil Gas,6472.0
02/01/2025 00:15:00 - 02/01/2025 00:30:00,BZN|ES,Fossil Gas,6840.0
02/01/2025 00:30:00 - 02/01/2025 00:45:00,BZN|ES,Fossil Gas,6840.0
02/01/2025 00:45:00 - 02/01/2025 01:00:00,BZN|ES,Fossil Gas,6368.0
02/01/2025 01:00:00 - 02/01/2025 01:15:00,BZN|ES,Fossil Gas,6096.0
02/01/2025 01:15:00 - 02/01/2025 01:30:00,BZN|ES,Fossil Gas,6244.0
02/01/2025 01:30:00 - 02/01/2025 01:45:00,BZN|ES,Fossil Gas,5872.0
02/01/2025 01:45:00 - 02/01/2025 02:00:00,BZN|ES,Fossil Gas,5716.0
02/01/2025 02:00:00 - 02/01/2025 02:15:00,BZN|ES,Fossil Gas,5692.0
02/01/2025 02:15:00 - 02/01/2025 02:30:00,BZN|ES,Fossil Gas,5996.0
02/01/2025 02:30:00 - 02/01/2025 02:45:00,BZN|ES,Fossil Gas,6044.0
02/01/2025 02:45:00 - 02/01/2025 03:00:00,BZN|ES,Fossil Gas,5968.0
02/01/2025 03:00:00 - 02/01/2025 03:15:00,BZN|ES,Fossil Gas,5800.0
02/01/2025 03:15:00 - 02/01/2025 03:30:00,BZN|ES,Fossil Gas,5872.0
02/01/2025 03:30:00 - 02/01/2025 03:45:00,BZN|ES,Fossil Gas,5636.0
