hourly__time,hourly__apparent_temperature,hourly__wind_speed_100m,hourly__wind_direction_100m,daily__weather_code
2025-01-01 00:00:00,-4.3,10.8,88,Mainly clear
2025-01-01 01:00:00,-3.5,11.1,97,Clear sky
2025-01-01 02:00:00,-4.3,14.4,105,Overcast
2025-01-01 03:00:00,-2.6,16.4,105,Overcast
2025-01-01 04:00:00,-1.5,15.5,95,Overcast
2025-01-01 05:00:00,-0.9,15.5,91,Overcast
2025-01-01 06:00:00,-0.6,15.4,85,Overcast
2025-01-01 07:00:00,-0.6,15.2,79,Overcast
2025-01-01 08:00:00,-0.5,13.5,67,Overcast
2025-01-01 09:00:00,-0.3,14.4,54,Overcast
2025-01-01 10:00:00,0.2,13.4,50,Overcast
2025-01-01 11:00:00,1.4,10.9,54,Overcast
2025-01-01 12:00:00,2.6,10.5,68,Overcast
2025-01-01 13:00:00,4.4,10.5,86,Overcast
2025-01-01 14:00:00,5.0,10.7,97,Overcast
2025-01-01 15:00:00,5.7,8.8,94,Overcast
2025-01-01 16:00:00,5.9,8.3,22,Mainly clear
2025-01-01 17:00:00,1.8,14.5,17,Clear sky
2025-01-01 18:00:00,1.0,11.5,40,Clear sky
2025-01-01 19:00:00,0.4,9.6,43,Clear sky
2025-01-01 20:00:00,-0.2,9.3,50,Clear sky
2025-01-01 21:00:00,-0.9,9.2,69,Clear sky
2025-01-01 22:00:00,-1.6,7.7,60,Clear sky
2025-01-01 23:00:00,-2.9,11.6,75,Clear sky
2025-01-02 00:00:00,-3.3,10.8,80,Clear sky
2025-01-02 01:00:00,-3.1,7.4,87,Clear sky
2025-01-02 02:00:00,-3.6,8.0,100,Clear sky
2025-01-02 03:00:00,-3.5,7.3,99,Clear sky
2025-01-02 04:00:00,-3.7,8.2,100,Clear sky
2025-01-02 05:00:00,-4.3,8.6,79,Clear sky
2025-01-02 06:00:00,-4.6,9.4,73,Mainly clear
2025-01-02 07:00:00,-4.7,12.3,82,Overcast
2025-01-02 08:00:00,-3.6,11.0,93,Overcast
2025-01-02 09:00:00,-1.7,10.0,83,Overcast
2025-01-02 10:00:00,-0.4,6.5,82,Overcast
2025-01-02 11:00:00,1.0,6.9,57,Overcast
2025-01-02 12:00:00,2.1,4.6,54,Overcast
2025-01-02 13:00:00,5.1,3.2,56,Partly cloudy
2025-01-02 14:00:00,6.9,3.5,81,Mainly clear
2025-01-02 15:00:00,7.9,0.9,127,Mainly clear
2025-01-02 16:00:00,7.8,0.6,252,Overcast
2025-01-02 17:00:00,4.9,5.3,278,Clear sky
2025-01-02 18:00:00,3.4,7.7,261,Partly cloudy
2025-01-02 19:00:00,0.8,11.6,264,Overcast
2025-01-02 20:00:00,-0.8,14.5,258,Overcast
2025-01-02 21:00:00,-1.4,15.5,242,Overcast
2025-01-02 22:00:00,-1.2,15.3,236,Overcast
2025-01-02 23:00:00,-1.2,14.1,251,Overcast
2025-01-03 00:00:00,-1.0,11.2,260,Partly cloudy
2025-01-03 01:00:00,-1.6,11.5,250,Overcast
2025-01-03 02:00:00,-2.1,11.5,250,Overcast
2025-01-03 03:00:00,-2.5,12.3,258,Overcast
2025-01-03 04:00:00,-3.1,12.2,253,Overcast
2025-01-03 05:00:00,-3.6,12.6,259,Overcast
2025-01-03 06:00:00,-3.6,12.8,250,Overcast
2025-01-03 07:00:00,-3.3,12.1,265,Partly cloudy
2025-01-03 08:00:00,-2.6,10.5,266,Overcast
2025-01-03 09:00:00,-0.7,9.7,252,Overcast
2025-01-03 10:00:00,2.2,10.6,256,Partly cloudy
2025-01-03 11:00:00,5.2,6.6,249,Overcast
2025-01-03 12:00:00,6.3,9.1,261,Overcast
2025-01-03 13:00:00,6.0,10.1,260,Overcast
2025-01-03 14:00:00,6.3,13.9,266,Overcast
2025-01-03 15:00:00,6.9,14.9,269,Overcast
2025-01-03 16:00:00,5.2,17.1,274,Overcast
2025-01-03 17:00:00,2.2,17.9,273,Overcast
2025-01-03 18:00:00,0.6,19.1,268,Overcast
2025-01-03 19:00:00,-0.6,19.6,272,Overcast
2025-01-03 20:00:00,-1.1,20.3,264,Overcast
2025-01-03 21:00:00,-1.4,19.9,256,Overcast
2025-01-03 22:00:00,-1.9,20.1,254,Partly cloudy
2025-01-03 23:00:00,-1.7,17.7,260,Overcast
2025-01-04 00:00:00,-0.3,13.3,257,Overcast
2025-01-04 01:00:00,-0.4,18.3,263,Partly cloudy
2025-01-04 02:00:00,-0.7,15.1,267,Partly cloudy
2025-01-04 03:00:00,-1.4,15.5,265,Overcast
2025-01-04 04:00:00,-1.7,14.2,258,Overcast
2025-01-04 05:00:00,-0.8,11.2,248,Overcast
2025-01-04 06:00:00,0.0,8.1,252,Overcast
2025-01-04 07:00:00,0.4,6.6,254,Overcast
2025-01-04 08:00:00,0.6,4.4,232,Overcast
2025-01-04 09:00:00,1.6,2.9,184,Overcast
2025-01-04 10:00:00,3.0,2.0,135,Overcast
