datetime,Area,Production Type,Generation (MWh)
2025/1/5 6:00,BZN|ES,Wind Onshore,11214.0
2025/1/5 7:00,BZN|ES,Wind Onshore,11632.0
2025/1/5 8:00,BZN|ES,Wind Onshore,11945.0
2025/1/5 9:00,BZN|ES,Wind Onshore,12106.0
2025/1/5 10:00,BZN|ES,Wind Onshore,12101.0
2025/1/5 11:00,BZN|ES,Wind Onshore,12709.0
2025/1/5 12:00,BZN|ES,Wind Onshore,13563.0
2025/1/5 13:00,BZN|ES,Wind Onshore,14624.0
2025/1/5 14:00,BZN|ES,Wind Onshore,15453.0
2025/1/5 15:00,BZN|ES,Wind Onshore,15587.0
2025/1/5 16:00,BZN|ES,Wind Onshore,15781.0
2025/1/5 17:00,BZN|ES,Wind Onshore,15230.0
2025/1/5 18:00,BZN|ES,Wind Onshore,14827.0
2025/1/5 19:00,BZN|ES,Wind Onshore,14916.0
2025/1/5 20:00,BZN|ES,Wind Onshore,14970.0
2025/1/5 21:00,BZN|ES,Wind Onshore,15259.0
2025/1/5 22:00,BZN|ES,Wind Onshore,15136.0
2025/1/5 23:00,BZN|ES,Wind Onshore,15420.0
2025/1/6 0:00,BZN|ES,Wind Onshore,15312.0
2025/1/6 1:00,BZN|ES,Wind Onshore,15389.0
2025/1/6 2:00,BZN|ES,Wind Onshore,14219.0
2025/1/6 3:00,BZN|ES,Wind Onshore,12220.0
2025/1/6 4:00,BZN|ES,Wind Onshore,10728.0
2025/1/6 5:00,BZN|ES,Wind Onshore,11580.0
2025/1/6 6:00,BZN|ES,Wind Onshore,11999.0
2025/1/6 7:00,BZN|ES,Wind Onshore,11001.0
2025/1/6 8:00,BZN|ES,Wind Onshore,10089.0
2025/1/6 9:00,BZN|ES,Wind Onshore,9082.0
2025/1/6 10:00,BZN|ES,Wind Onshore,8451.0
2025/1/6 11:00,BZN|ES,Wind Onshore,8860.0
2025/1/6 12:00,BZN|ES,Wind Onshore,10136.0
2025/1/6 13:00,BZN|ES,Wind Onshore,11118.0
2025/1/6 14:00,BZN|ES,Wind Onshore,12273.0
2025/1/6 15:00,BZN|ES,Wind Onshore,12258.0
2025/1/6 16:00,BZN|ES,Wind Onshore,12102.0
2025/1/6 17:00,BZN|ES,Wind Onshore,11935.0
2025/1/6 18:00,BZN|ES,Wind Onshore,12760.0
2025/1/6 19:00,BZN|ES,Wind Onshore,13283.0
2025/1/6 20:00,BZN|ES,Wind Onshore,13192.0
2025/1/6 21:00,BZN|ES,Wind Onshore,13124.0
