Month,MAE,RMSE,MAPE,R²,nRMSE
Mar,1401.3515231221147,2491.6510455867115,115.07064249066087,0.7722123933209172,12.14971325970339
Apr,1490.6268114089967,2403.625114831006,115.90856747312984,0.8616183171878269,11.720483885873278
May,2359.4239531506946,3752.8125080600935,63.462122736874896,0.6888966397262773,18.299350533502178
Jun,2855.9872543672723,4227.3895129533485,50.20309134323837,0.750745304485175,20.613468531411545
Jul,2209.1326700846353,3313.647353505967,25.61902043105293,0.8491875224988369,16.15790672621754
Aug,1766.155729663842,2724.748129061468,31.941027785438557,0.8972779558437964,13.286334188588143
Sep,2608.7672215625644,4102.865341261771,82.68074278123756,0.7528517340850472,20.00626754207779
