,Month,MAE,RMSE,MAPE,R²,nRMSE
0,Jun,2021.1950685365046,2785.5667478250357,162.11709701677324,0.8917754083072884,12.990564509746939
1,Jul,2183.4912288607825,2899.4378213598116,93.91057926124671,0.884534484673995,13.52160528545358
2,Aug,1817.2018649398358,2394.5029668595594,151.01564678286505,0.9206692269980927,11.166828181036047
