Timestamp,Forecast_Generation_MWh,Forecast_Lower_Bound_MWh,Forecast_Upper_Bound_MWh
2025-03-01 00:00:00,229.4382077047901,0.0,3938.8859532665497
2025-03-01 01:00:00,162.68060704692743,0.0,3647.6455250337303
2025-03-01 02:00:00,157.20396249573173,0.0,3550.5626502324203
2025-03-01 03:00:00,222.85307584433838,0.0,3557.949439565622
2025-03-01 04:00:00,173.7452833926585,0.0,3501.465590120183
2025-03-01 05:00:00,0.0,0.0,3383.614645761236
2025-03-01 06:00:00,0.0,0.0,2923.080164476585
2025-03-01 07:00:00,169.89217093525792,0.0,3659.12247957233
2025-03-01 08:00:00,2218.51611803142,0.0,5599.077402747778
2025-03-01 09:00:00,5876.745505192862,2599.9017070933483,9273.40965749323
2025-03-01 10:00:00,9711.91165330875,6433.286292591486,13208.442028285297
2025-03-01 11:00:00,12569.33751499577,8827.710435520596,16063.634352796404
2025-03-01 12:00:00,14286.246701636113,10729.57330774193,17731.896711940433
2025-03-01 13:00:00,14730.25431192568,11258.430126790414,17990.86413433836
2025-03-01 14:00:00,14327.699636627507,10844.262353515167,17754.09248158574
2025-03-01 15:00:00,13543.687284188356,10267.963367157188,16897.54546402946
2025-03-01 16:00:00,12490.049662291445,9137.854411671058,15932.276686198855
2025-03-01 17:00:00,10999.137618086876,7595.291440079991,14479.964228623738
2025-03-01 18:00:00,8358.555568466192,5040.068197798524,11700.402610039238
2025-03-01 19:00:00,4987.023190599768,1578.354237177868,8443.21954840985
2025-03-01 20:00:00,2256.2014425369844,0.0,5804.984671414302
2025-03-01 21:00:00,618.9599785296425,0.0,4215.879828343307
2025-03-01 22:00:00,0.0,0.0,3578.7193393697216
2025-03-01 23:00:00,0.0,0.0,3771.6329615389723
2025-03-02 00:00:00,0.0,0.0,3270.17505730006
2025-03-02 01:00:00,0.0,0.0,3142.7601456343746
2025-03-02 02:00:00,0.0,0.0,3093.502671962304
2025-03-02 03:00:00,0.0,0.0,3546.8193683106974
2025-03-02 04:00:00,0.0,0.0,3212.5879733316824
2025-03-02 05:00:00,0.0,0.0,3193.4279229974068
2025-03-02 06:00:00,0.0,0.0,2728.6184443453485
2025-03-02 07:00:00,0.0,0.0,3181.8494605755286
2025-03-02 08:00:00,1964.8575475594162,0.0,5525.873654214496
2025-03-02 09:00:00,5636.8791028098185,2359.939230427358,8900.88442094671
2025-03-02 10:00:00,9485.483680506872,5752.495694114435,13128.45282303162
2025-03-02 11:00:00,12355.88356116112,9062.618894721993,15908.937943159603
2025-03-02 12:00:00,14085.00549226585,10418.71758920457,17355.0689828088
2025-03-02 13:00:00,14540.363595027176,11371.992028070332,17935.52400523653
2025-03-02 14:00:00,14148.224519435556,10633.74357752768,17786.198819641406
2025-03-02 15:00:00,13373.65201573336,9982.270092122297,16891.6094981738
2025-03-02 16:00:00,12328.46962761674,8823.06034487839,15547.998166369154
2025-03-02 17:00:00,10845.048307528108,7677.374836698478,14169.230736283416
2025-03-02 18:00:00,8211.209515754987,4597.796802104816,11701.373554589502
2025-03-02 19:00:00,4845.70524517246,1335.9271297041244,8399.251382457758
2025-03-02 20:00:00,2120.0396216612467,0.0,5460.773637796077
2025-03-02 21:00:00,487.10976480874444,0.0,3937.784634847496
2025-03-02 22:00:00,0.0,0.0,3505.4857763846935
2025-03-02 23:00:00,0.0,0.0,3320.1351941755697
2025-03-03 00:00:00,0.0,0.0,3286.7248154796207
2025-03-03 01:00:00,0.0,0.0,3034.994066668463
2025-03-03 02:00:00,0.0,0.0,3362.9677152501613
2025-03-03 03:00:00,0.0,0.0,3169.575363825919
2025-03-03 04:00:00,0.0,0.0,3314.476991584527
2025-03-03 05:00:00,0.0,0.0,2808.8759936838887
2025-03-03 06:00:00,0.0,0.0,2606.7431885186024
2025-03-03 07:00:00,0.0,0.0,3213.719420172896
2025-03-03 08:00:00,1840.586088578773,0.0,5101.662225835013
2025-03-03 09:00:00,5511.560560499422,2041.0911296591803,9159.805972393104
2025-03-03 10:00:00,9359.337021958538,5981.781250535758,12834.200412299308
2025-03-03 11:00:00,12229.17061715923,8904.295961813938,15559.457107154247
2025-03-03 12:00:00,13957.829204078442,10422.32057502592,17540.064312558567
2025-03-03 13:00:00,14412.846766047174,10799.109807470786,17765.516795201183
2025-03-03 14:00:00,14020.51968862613,10528.33951101794,17606.67976682194
2025-03-03 15:00:00,13245.953715907017,9835.31464921025,17011.94363499701
2025-03-03 16:00:00,12201.026069481612,8840.79766200702,15482.89227573841
2025-03-03 17:00:00,10718.169537718304,7451.8411905528255,14113.0391786221
2025-03-03 18:00:00,8085.443334321094,4816.295165405677,11775.000527334349
2025-03-03 19:00:00,4721.6315356066125,1301.7061395304736,8426.595547112858
2025-03-03 20:00:00,1998.0606286666393,0.0,5285.347867966024
2025-03-03 21:00:00,367.6144662347002,0.0,3828.6980978206884
2025-03-03 22:00:00,0.0,0.0,3247.781924888744
2025-03-03 23:00:00,0.0,0.0,3108.971632127267
2025-03-04 00:00:00,0.0,0.0,3283.639609429807
2025-03-04 01:00:00,0.0,0.0,3076.370593144966
2025-03-04 02:00:00,0.0,0.0,3303.6424484295294
2025-03-04 03:00:00,0.0,0.0,2985.693270686281
2025-03-04 04:00:00,0.0,0.0,3039.0381443067486
2025-03-04 05:00:00,0.0,0.0,2506.3656356534275
2025-03-04 06:00:00,0.0,0.0,2310.817538713738
2025-03-04 07:00:00,0.0,0.0,3436.3652415010456
2025-03-04 08:00:00,1762.2972113860123,0.0,4969.505649011745
