Timestamp,Forecast_Generation_MWh,Forecast_Lower_Bound_MWh,Forecast_Upper_Bound_MWh,Real_Generation(MWh)
2025-02-22 02:00:00,9073.698460674708,4322.814126334842,13901.074970732068,10020.0
2025-02-22 03:00:00,8434.077953326065,3771.2413821499113,13158.1970333697,8758.0
2025-02-22 04:00:00,8120.1616824270595,3394.6190862092644,12812.976260954858,7811.0
2025-02-22 05:00:00,7951.037576490756,2946.641955929871,12700.687621074489,6900.0
2025-02-22 06:00:00,7227.794891449298,2431.913486174523,12129.7204989844,5742.0
2025-02-22 07:00:00,6453.567223587118,1688.805688059837,10982.922490847506,4892.0
2025-02-22 08:00:00,6705.844600027075,2353.628146941891,11324.462717837898,4499.0
2025-02-22 09:00:00,6321.9203449302295,1642.8495218817848,11107.153999420343,3999.0
2025-02-22 10:00:00,4752.078245250163,303.6136046273111,9472.47343552056,3508.0
2025-02-22 11:00:00,3412.1118078391355,0.0,8515.747118493704,3136.0
2025-02-22 12:00:00,2977.342931826174,0.0,7632.296302171667,2934.0
2025-02-22 13:00:00,2962.8502288800264,0.0,7841.217931153933,2603.0
2025-02-22 14:00:00,3191.6794652138924,0.0,7699.874130087027,2620.0
2025-02-22 15:00:00,3540.165858444793,0.0,8217.698151547322,2901.0
2025-02-22 16:00:00,4114.837204910963,0.0,8858.844238009642,3116.0
2025-02-22 17:00:00,6310.45544147638,1568.5059029823988,11201.56665702008,3266.0
2025-02-22 18:00:00,7457.561149381441,2420.2445438246914,12180.785607240692,3623.0
2025-02-22 19:00:00,8072.022860556178,3279.7871354485064,13188.931874691456,4123.0
2025-02-22 20:00:00,7375.330660704432,2809.790025854737,12073.673659578142,4641.0
2025-02-22 21:00:00,7935.170791699879,3315.411271633008,12636.613880284487,5496.0
2025-02-22 22:00:00,8278.665699288438,3346.717043892746,13050.448931565012,6073.0
2025-02-22 23:00:00,7920.968598424568,3099.461257015433,12655.068083940068,6735.0
2025-02-23 00:00:00,6805.002180784366,1678.3079031572372,11585.601481179625,7074.0
2025-02-23 01:00:00,6116.879927814969,998.4039570911508,10762.177124566308,7177.0
2025-02-23 02:00:00,5407.797171374215,913.4429721544154,10317.694663980166,7321.0
2025-02-23 03:00:00,5536.342365915234,912.506666175018,10642.18382011619,7096.0
2025-02-23 04:00:00,4639.814923893571,0.0,9492.347405597664,6824.0
2025-02-23 05:00:00,4271.799434387049,0.0,8749.615929170803,6478.0
2025-02-23 06:00:00,4465.0264721872445,0.0,9211.472816539144,6438.0
