Timestamp,Forecast_Generation_MWh,Forecast_Lower_Bound_MWh,Forecast_Upper_Bound_MWh
2025-03-01 00:00:00,8933.77436371288,3494.364886149617,14432.806906477635
2025-03-01 01:00:00,8457.069136650283,2856.2701890395497,13580.592695735371
2025-03-01 02:00:00,8192.144132568526,2876.202876421482,13797.16586426761
2025-03-01 03:00:00,7785.107197705807,2529.5617715086337,13248.562449295217
2025-03-01 04:00:00,7440.270591066026,1523.9309552136451,12716.802326544886
2025-03-01 05:00:00,7222.393833768326,1974.2654824011302,12426.644323468987
2025-03-01 06:00:00,7048.788376522997,1982.6011764109533,12695.400860161852
2025-03-01 07:00:00,6988.732595671162,1769.0332198008862,12495.312960031515
2025-03-01 08:00:00,6893.688232956954,1598.4928375287698,12272.637556674175
2025-03-01 09:00:00,6358.709701346666,1056.2203900527338,11662.524408997053
2025-03-01 10:00:00,6602.287130961676,839.4546168607343,12052.887662651625
2025-03-01 11:00:00,6308.928311235923,858.563682251263,11697.40199817304
2025-03-01 12:00:00,6365.9854685908,1025.6562261313934,11514.481473743785
2025-03-01 13:00:00,6862.653168773721,1740.3065602517563,12393.611839303532
2025-03-01 14:00:00,7277.006050290139,1929.4600946033593,12601.583090498245
2025-03-01 15:00:00,7464.378591217918,1754.889941519375,12651.592389561167
2025-03-01 16:00:00,7795.792888716029,2311.8145040479844,13628.123960042029
2025-03-01 17:00:00,9094.50590045568,3832.3408303404603,14620.513918055287
2025-03-01 18:00:00,9504.457763668286,4025.6226295167453,15006.71080967618
2025-03-01 19:00:00,9844.164975333017,4382.489377305026,15599.422955399146
2025-03-01 20:00:00,10186.164707609207,4916.498174665388,15639.059031398681
2025-03-01 21:00:00,9947.742891016138,4177.822182862638,15103.465902929885
2025-03-01 22:00:00,9966.630244774762,4825.771383026451,15381.982012963084
2025-03-01 23:00:00,9804.373177792368,4508.350660853533,14899.924322182496
2025-03-02 00:00:00,9785.564119372097,4268.478207595977,15607.086399940554
2025-03-02 01:00:00,8719.909332107938,3303.73709631764,14341.329029929524
2025-03-02 02:00:00,8295.919859543981,2504.8665112789326,13853.98954263744
2025-03-02 03:00:00,8199.074026411088,2804.9169533975582,13902.635076034296
2025-03-02 04:00:00,8440.578946175738,3212.37166263851,14185.844707544933
2025-03-02 05:00:00,8775.810704110605,3493.9894738913795,14061.514330886343
2025-03-02 06:00:00,8769.42039630357,3213.7398810758586,14420.266114830674
2025-03-02 07:00:00,8562.106580965294,3177.936811389181,14099.613413835626
2025-03-02 08:00:00,8351.626298635447,2996.173249715163,13635.997617284655
2025-03-02 09:00:00,7702.813674649597,2281.463181248108,12999.665386241317
2025-03-02 10:00:00,6870.32744348947,1374.638885749803,12136.793696190009
2025-03-02 11:00:00,6549.0817207994105,1329.394424673546,12079.80918867418
2025-03-02 12:00:00,6913.167232025785,1862.5780684255935,12271.391349031162
2025-03-02 13:00:00,7556.501832318757,1663.506320474524,13281.781166549017
2025-03-02 14:00:00,7642.127803101143,2403.774501875646,13389.209157687901
2025-03-02 15:00:00,7832.20004368917,2453.2289218720716,13140.575350842219
2025-03-02 16:00:00,7628.731602189011,2427.2032813139094,13116.701147329562
2025-03-02 17:00:00,8152.0680836913325,2595.142957833307,13382.832166632545
2025-03-02 18:00:00,9267.053557672869,3468.9765304822067,14534.09479839433
2025-03-02 19:00:00,9770.107534853758,4534.544108981593,15310.258269187396
2025-03-02 20:00:00,9773.742226464892,4429.396940864328,15332.897758776115
2025-03-02 21:00:00,9809.454726046579,4504.4508679404635,15083.10500535175
2025-03-02 22:00:00,9480.42249511706,4044.715966617648,14466.675772309247
2025-03-02 23:00:00,9523.500951051032,3859.3099400822634,14373.558130695395
2025-03-03 00:00:00,9000.893055090673,3860.673026380059,13857.346586937394
2025-03-03 01:00:00,8890.838876723406,3226.6929052131836,14116.14089297498
2025-03-03 02:00:00,8858.784256243594,3515.9126505113127,14446.796097178112
2025-03-03 03:00:00,8637.916296366835,3029.027607106321,14247.876457000571
2025-03-03 04:00:00,8620.855990229034,3158.6455047373033,13870.083702315891
2025-03-03 05:00:00,8312.778602870854,2651.9929310701827,14409.473273072954
2025-03-03 06:00:00,8253.02912280845,2489.9648006879593,13701.6055599449
2025-03-03 07:00:00,8140.618446667981,2720.0644562573775,13796.737177020575
2025-03-03 08:00:00,7865.199912992038,2337.948362950936,13383.477327289434
2025-03-03 09:00:00,8148.562422616344,2811.930258312659,13188.95235708962
2025-03-03 10:00:00,7242.783366266987,1863.9202844079896,12733.28454887287
2025-03-03 11:00:00,6936.371184169138,1266.6844431860914,12767.903810356776
2025-03-03 12:00:00,7009.318995553822,2053.7148686444853,12388.31427945603
2025-03-03 13:00:00,7849.244020413152,2354.952841477792,13338.251655582986
2025-03-03 14:00:00,7577.949054050909,2212.710889626318,13162.950906315915
2025-03-03 15:00:00,8248.834365985967,3080.084079450991,13703.445887648122
2025-03-03 16:00:00,7395.442978605677,1500.3167252911064,12716.918255503744
2025-03-03 17:00:00,7358.431944062933,1898.0598373201365,12742.929836715646
2025-03-03 18:00:00,7897.94469800892,2261.3964457707852,12985.986584842714
2025-03-03 19:00:00,8788.015185937444,3556.682970450187,13701.75863110521
2025-03-03 20:00:00,9693.694109745315,4482.70613412379,15029.848163535893
2025-03-03 21:00:00,9334.854035238282,3690.737340271498,14571.430726958162
2025-03-03 22:00:00,9355.74190430991,3869.395142799986,14757.243760234905
2025-03-03 23:00:00,9969.02655121499,4536.027958848418,15485.223116099376
2025-03-04 00:00:00,9717.227203950684,4151.634085185109,15095.421723546999
