Timestamp,Hour,Actual_Generation_MWh,Forecast_Generation_MWh,Absolute_Error_MWh,Percentage_Error
1/5/2025 1:00,1,16,43.42213,27.42213058,171.3883162
1/5/2025 2:00,2,16,40.861767,24.86176682,155.3860426
1/5/2025 3:00,3,16,40.861767,24.86176682,155.3860426
1/5/2025 4:00,4,16,40.861767,24.86176682,155.3860426
1/5/2025 5:00,5,16,39.744255,23.74425507,148.4015942
1/5/2025 6:00,6,16,39.744255,23.74425507,148.4015942
1/5/2025 7:00,7,16,40.57639,24.57638931,153.6024332
1/5/2025 8:00,8,48,59.269863,11.26986313,23.47888152
1/5/2025 9:00,9,1095,1653.287,558.2869873,50.985113
1/5/2025 10:00,10,3906,5907.0273,2001.027344,51.22957869
1/5/2025 11:00,11,5778,9675.935,3897.93457,67.4616575
1/5/2025 12:00,12,6939,11065.328,4126.328125,59.46574614
1/5/2025 13:00,13,6809,11178.809,4369.808594,64.176951
1/5/2025 14:00,14,5674,11141.438,5467.438477,96.35950787
1/5/2025 15:00,15,4148,11145.126,6997.125977,168.68674
1/5/2025 16:00,16,2171,8024.168,5853.167969,269.6069999
1/5/2025 17:00,17,754,3797.1694,3043.169434,403.6033732
1/5/2025 18:00,18,79,439.78372,360.7837219,456.6882556
1/5/2025 19:00,19,18,117.50123,99.50122833,552.7846018
1/5/2025 20:00,20,19,97.056274,78.05627441,410.8224969
1/5/2025 21:00,21,19,80.91826,61.91825867,325.8855719
1/5/2025 22:00,22,20,64.96787,44.96787262,224.8393631
1/5/2025 23:00,23,20,60.758797,40.75879669,203.7939835
1/6/2025 0:00,0,20,61.043217,41.04321671,205.2160835
1/6/2025 1:00,1,20,59.729603,39.72960281,198.6480141
1/6/2025 2:00,2,19,54.888615,35.88861465,188.8874456
1/6/2025 3:00,3,20,54.888615,34.88861465,174.4430733
1/6/2025 4:00,4,19,53.245667,34.2456665,180.24035
1/6/2025 5:00,5,19,50.380215,31.38021469,165.1590247
1/6/2025 6:00,6,19,50.380215,31.38021469,165.1590247
1/6/2025 7:00,7,19,52.660362,33.66036224,177.1598013
1/6/2025 8:00,8,44,74.34774,30.34774017,68.97213676
1/6/2025 9:00,9,867,1845.4008,978.4007568,112.8489916
1/6/2025 10:00,10,4036,6971.4185,2935.418457,72.73088347
1/6/2025 11:00,11,6536,9393.959,2857.958984,43.72642265
1/6/2025 12:00,12,8109,10018.226,1909.225586,23.54452566
1/6/2025 13:00,13,8938,9949.111,1011.111328,11.31250087
1/6/2025 14:00,14,8570,9917.448,1347.448242,15.72284997
1/6/2025 15:00,15,8636,9280.294,644.2939453,7.460559811
1/6/2025 16:00,16,7196,7690.7812,494.78125,6.875781684
1/6/2025 17:00,17,3655,2925.87,729.1298828,19.948834
1/6/2025 18:00,18,349,293.88113,55.11886597,15.79337134
1/6/2025 19:00,19,23,120.59216,97.59216309,424.3137525
1/6/2025 20:00,20,20,110.92176,90.92176056,454.6088028
1/6/2025 21:00,21,20,97.74583,77.74582672,388.7291336
1/6/2025 22:00,22,20,73.35709,53.35709381,266.7854691
1/6/2025 23:00,23,20,63.702763,43.7027626,218.513813
1/7/2025 0:00,0,20,61.735577,41.73557663,208.6778831
1/7/2025 1:00,1,16,60.42196,44.42195892,277.6372433
1/7/2025 2:00,2,19,55.58097,36.58097076,192.5314251
1/7/2025 3:00,3,18,55.58097,37.58097076,208.7831709
1/7/2025 4:00,4,17,53.938023,36.93802261,217.282486
1/7/2025 5:00,5,16,51.07257,35.0725708,219.2035675
1/7/2025 6:00,6,18,51.07257,33.0725708,183.7365044
1/7/2025 7:00,7,19,52.385464,33.38546371,175.7129669
1/7/2025 8:00,8,77,75.00946,1.990539551,2.5851163
1/7/2025 9:00,9,2258,1322.63,935.3699951,41.42471192
1/7/2025 10:00,10,7566,5610.9165,1955.083496,25.84038456
1/7/2025 11:00,11,10635,6654.1187,3980.881348,37.43188855
1/7/2025 12:00,12,11559,6830.6416,4728.358398,40.90629292
1/7/2025 13:00,13,11542,6678.5566,4863.443359,42.13692046
1/7/2025 14:00,14,10784,6248.507,4535.493164,42.05761465
1/7/2025 15:00,15,9097,5243.0054,3853.994629,42.365556
1/7/2025 16:00,16,6426,4796.5107,1629.489258,25.35775378
1/7/2025 17:00,17,2403,1632.0798,770.920166,32.08157162
1/7/2025 18:00,18,260,241.11873,18.88127136,7.262027447
1/7/2025 19:00,19,80,109.69283,29.69283295,37.11604118
1/7/2025 20:00,20,72,108.04238,36.04238129,50.0588629
1/7/2025 21:00,21,62,98.1074,36.10739899,58.2377403
1/7/2025 22:00,22,44,81.392525,37.39252472,84.98301073
1/7/2025 23:00,23,29,79.62488,50.62487793,174.5685446
1/8/2025 0:00,0,28,79.27958,51.27957916,183.1413542
1/8/2025 1:00,1,28,77.965965,49.96596527,178.449876
1/8/2025 2:00,2,28,75.58782,47.58782196,169.956507
1/8/2025 3:00,3,28,75.58782,47.58782196,169.956507
1/8/2025 4:00,4,28,73.94488,45.94487762,164.0888487
1/8/2025 5:00,5,28,75.50096,47.5009613,169.6462904
1/8/2025 6:00,6,28,75.50096,47.5009613,169.6462904
1/8/2025 7:00,7,28,74.92596,46.92595673,167.5927026
1/8/2025 8:00,8,92,86.43845,5.561546326,6.04515905
1/8/2025 9:00,9,1958,1074.8934,883.1065674,45.10248046
1/8/2025 10:00,10,6172,3703.3,2468.699951,39.99837899
1/8/2025 11:00,11,8300,4893.028,3406.972168,41.04785745
1/8/2025 12:00,12,8863,5549.5776,3313.422363,37.38488506
1/8/2025 13:00,13,8920,5540.1533,3379.84668,37.89065784
1/8/2025 14:00,14,8129,5193.025,2935.975098,36.1172973
1/8/2025 15:00,15,6861,4188.651,2672.349121,38.94984873
1/8/2025 16:00,16,4560,2598.9878,1961.012207,43.00465366
1/8/2025 17:00,17,1647,1048.6631,598.3369141,36.32889581
1/8/2025 18:00,18,175,219.67357,44.67356873,25.52775356
1/8/2025 19:00,19,39,109.86123,70.86122894,181.6954588
1/8/2025 20:00,20,32,102.1892,70.18920135,219.3412542
1/8/2025 21:00,21,32,92.2542,60.2542038,188.2943869
1/8/2025 22:00,22,32,73.07898,41.07897949,128.3718109
1/8/2025 23:00,23,32,72.39552,40.39552307,126.2360096
1/9/2025 0:00,0,32,82.03903,50.03903198,156.3719749
1/9/2025 1:00,1,32,80.352325,48.35232544,151.101017
1/9/2025 2:00,2,32,78.21684,46.21684265,144.4276333
1/9/2025 3:00,3,33,78.21684,45.21684265,137.0207353
1/9/2025 4:00,4,36,78.21684,42.21684265,117.2690074
1/9/2025 5:00,5,36,79.77293,43.77292633,121.591462
1/9/2025 6:00,6,36,79.77293,43.77292633,121.591462
1/9/2025 7:00,7,42,79.02234,37.02233887,88.14842587
1/9/2025 8:00,8,82,92.53995,10.53994751,12.85359452
1/9/2025 9:00,9,1481,989.27893,491.7210693,33.20196282
1/9/2025 10:00,10,5516,3182.7349,2333.265137,42.29994809
1/9/2025 11:00,11,8125,5057.0547,3067.945313,37.75932692
1/9/2025 12:00,12,9699,5562.553,4136.446777,42.64817793
1/9/2025 13:00,13,10896,5745.5376,5150.462402,47.26929518
1/9/2025 14:00,14,11049,5793.616,5255.383789,47.56433876
1/9/2025 15:00,15,10680,5274.715,5405.285156,50.61128423
1/9/2025 16:00,16,8762,3479.976,5282.023926,60.28331346
1/9/2025 17:00,17,3870,1870.2283,1999.771729,51.67368808
1/9/2025 18:00,18,397,391.1532,5.846801758,1.472746035
1/9/2025 19:00,19,41,118.49694,77.49694061,189.0169283
1/9/2025 20:00,20,40,85.56341,45.5634079,113.9085197
